[0.16688691] [0.2968411] [0.43433315] [0.58025126] [0.7271026] [0.87846368] [1.03246904] [1.20172619] [1.39609693] [1.60310462] [1.82249752] [2.07349758] [2.47524923] [3.02417171] [3.86472408] [4.81578762] [6.35792379] [8.99402109] [14.14069639] [21.69094826] [0.4468716] 
[0.15854257] [0.28199904] [0.41261649] [0.5512387] [0.69074747] [0.8345405] [0.98084559] [1.14163988] [1.32629209] [1.52294938] [1.73137264] [1.9698227] [2.35148677] [2.87296313] [3.67148788] [4.57499824] [6.0400276] [8.54432004] [13.43366157] [20.60640085] [0.42452802] 
[0.15061544] [0.26789909] [0.39198566] [0.52367677] [0.65621009] [0.79281347] [0.93180331] [1.08455788] [1.25997748] [1.44680192] [1.64480401] [1.87133156] [2.23391243] [2.72931497] [3.48791349] [4.34624833] [5.73802622] [8.11710404] [12.76197849] [19.57608081] [0.40330162] 
[0.14308467] [0.25450413] [0.37238638] [0.49749293] [0.62339959] [0.7531728] [0.88521315] [1.03032999] [1.19697861] [1.37446182] [1.56256381] [1.77776498] [2.12221681] [2.59284922] [3.31351781] [4.12893591] [5.45112491] [7.71124883] [12.12387956] [18.59727677] [0.38313654] 
[0.13593043] [0.24177893] [0.35376706] [0.47261828] [0.59222961] [0.71551416] [0.84095249] [0.97881349] [1.13712968] [1.30573873] [1.48443562] [1.68887674] [2.01610597] [2.46320676] [3.14784192] [3.92248912] [5.17856866] [7.32568639] [11.51768559] [17.66741293] [0.36397971] 
[0.12913391] [0.22968998] [0.33607871] [0.44898737] [0.56261813] [0.67973845] [0.79890486] [0.92987281] [1.0802732] [1.24045179] [1.41021384] [1.6044329] [1.91530067] [2.34004642] [2.99044983] [3.72636466] [4.91964023] [6.95940207] [10.94180131] [16.78404228] [0.34578073] 
[0.12267722] [0.21820548] [0.31927477] [0.426538] [0.53448722] [0.64575153] [0.75895962] [0.88337917] [1.02625954] [1.1784292] [1.33970315] [1.52421125] [1.81953564] [2.2230441] [2.84092733] [3.54004643] [4.67365822] [6.61143197] [10.39471124] [15.94484017] [0.32849169] 
[0.11654335] [0.20729521] [0.30331103] [0.4052111] [0.50776286] [0.61346395] [0.72101164] [0.83921022] [0.97494656] [1.11950774] [1.27271799] [1.44800069] [1.72855886] [2.1118919] [2.69888097] [3.36304411] [4.43997531] [6.28086037] [9.87497568] [15.14759816] [0.31206711] 
[0.11071619] [0.19693045] [0.28814548] [0.38495054] [0.48237472] [0.58279076] [0.68496106] [0.7972497] [0.92619923] [1.06353236] [1.20908209] [1.37560066] [1.64213091] [2.0062973] [2.56393692] [3.1948919] [4.21797654] [5.96681735] [9.38122689] [14.39021825] [0.29646375] 
[0.10518038] [0.18708393] [0.27373821] [0.36570302] [0.45825598] [0.55365122] [0.65071301] [0.75738722] [0.87988927] [1.01035574] [1.14862799] [1.30682062] [1.56002437] [1.90598244] [2.43574007] [3.03514731] [4.00707771] [5.66847649] [8.91216555] [13.67070734] [0.28164056] 
[0.09992136] [0.17772973] [0.2600513] [0.34741787] [0.43534318] [0.52596866] [0.61817735] [0.71951786] [0.83589481] [0.95983795] [1.09119659] [1.24147959] [1.48202315] [1.81068331] [2.31395307] [2.88338994] [3.80672383] [5.38505266] [8.46655727] [12.98717197] [0.26755854] 
[0.09492529] [0.16884324] [0.24704873] [0.33004697] [0.41357602] [0.49967022] [0.58726849] [0.68354197] [0.79410007] [0.91184605] [1.03663676] [1.17940561] [1.40792199] [1.72014915] [2.19825542] [2.73922045] [3.61638764] [5.11580003] [8.04322941] [12.33781337] [0.25418061] 
[0.09017903] [0.16040108] [0.2346963] [0.31354462] [0.39289722] [0.47468671] [0.55790506] [0.64936487] [0.75439506] [0.86625375] [0.98480492] [1.12043533] [1.33752589] [1.63414169] [2.08834264] [2.60225942] [3.43556825] [4.86001003] [7.64106794] [11.7209227] [0.24147158] 
[0.08567007] [0.15238103] [0.22296148] [0.29786739] [0.37325236] [0.45095238] [0.53000981] [0.61689662] [0.71667531] [0.82294106] [0.93556467] [1.06441357] [1.2706496] [1.55243461] [1.98392551] [2.47214645] [3.26378984] [4.61700953] [7.25901454] [11.13487657] [0.229398] 
[0.08138657] [0.14476198] [0.21181341] [0.28297402] [0.35458974] [0.42840476] [0.50350932] [0.58605179] [0.68084154] [0.78179401] [0.88878644] [1.01119289] [1.20711712] [1.47481288] [1.88472924] [2.34853913] [3.10060035] [4.38615905] [6.89606381] [10.57813274] [0.2179281] 
[0.07731724] [0.13752388] [0.20122274] [0.26882532] [0.33686026] [0.40698452] [0.47833385] [0.5567492] [0.64679947] [0.74270431] [0.84434712] [0.96063324] [1.14676126] [1.40107223] [1.79049278] [2.23111217] [2.94557033] [4.1668511] [6.55126062] [10.0492261] [0.2070317] 
[0.07345138] [0.13064768] [0.1911616] [0.25538406] [0.32001724] [0.38663529] [0.45441716] [0.52891174] [0.61445949] [0.70556909] [0.80212976] [0.91260158] [1.0894232] [1.33101862] [1.70096814] [2.11955656] [2.79829182] [3.95850854] [6.22369759] [9.5467648] [0.19668011] 
[0.06977881] [0.1241153] [0.18160352] [0.24261485] [0.30401638] [0.36730353] [0.4316963] [0.50246616] [0.58373652] [0.67029064] [0.76202327] [0.8669715] [1.03495204] [1.26446769] [1.61591973] [2.01357874] [2.65837722] [3.76058311] [5.91251271] [9.06942656] [0.1868461] 
[0.06628987] [0.11790953] [0.17252334] [0.23048411] [0.28881556] [0.34893835] [0.41011149] [0.47734285] [0.55454969] [0.63677611] [0.72392211] [0.82362293] [0.98320444] [1.20124431] [1.53512374] [1.9128998] [2.52545836] [3.57255396] [5.61688708] [8.61595523] [0.1775038] 
[0.06297538] [0.11201406] [0.16389718] [0.2189599] [0.27437478] [0.33149144] [0.38960591] [0.45347571] [0.52682221] [0.6049373] [0.687726] [0.78244178] [0.93404422] [1.14118209] [1.45836756] [1.81725481] [2.39918545] [3.39392626] [5.33604272] [8.18515747] [0.16862861] 
[0.05982661] [0.10641335] [0.15570232] [0.20801191] [0.26065605] [0.31491686] [0.37012562] [0.43080192] [0.5004811] [0.57469044] [0.6533397] [0.74331969] [0.88734201] [1.08412299] [1.38544918] [1.72639207] [2.27922617] [3.22422995] [5.06924059] [7.7758996] [0.16019718] 
[0.05683528] [0.10109269] [0.1479172] [0.19761131] [0.24762324] [0.29917102] [0.35161934] [0.40926182] [0.47545704] [0.54595591] [0.62067272] [0.70615371] [0.8429749] [1.02991684] [1.31617672] [1.64007247] [2.16526486] [3.06301845] [4.81577856] [7.38710462] [0.15218732] 
[0.05399351] [0.09603805] [0.14052134] [0.18773075] [0.23524208] [0.28421247] [0.33403837] [0.38879873] [0.45168419] [0.51865812] [0.58963908] [0.67084602] [0.80082616] [0.97842099] [1.25036788] [1.55806884] [2.05700162] [2.90986753] [4.57498963] [7.01774939] [0.14457795] 
[0.05129384] [0.09123615] [0.13349528] [0.17834421] [0.22347998] [0.27000185] [0.31733645] [0.3693588] [0.42909998] [0.49272521] [0.56015713] [0.63730372] [0.76078485] [0.92949994] [1.18784949] [1.4801654] [1.95415154] [2.76437415] [4.34624015] [6.66686192] [0.13734906] 
[0.04872915] [0.08667434] [0.12682051] [0.169427] [0.21230598] [0.25650175] [0.30146963] [0.35089086] [0.40764498] [0.46808895] [0.53214927] [0.60543853] [0.72274561] [0.88302495] [1.12845701] [1.40615713] [1.85644396] [2.62615544] [4.12892814] [6.33351882] [0.1304816] 
[0.04629269] [0.08234062] [0.12047949] [0.16095565] [0.20169068] [0.24367667] [0.28639615] [0.33334631] [0.38726273] [0.4446845] [0.50554181] [0.57516661] [0.68660833] [0.8388737] [1.07203416] [1.33584927] [1.76362176] [2.49484767] [3.92248173] [6.01684288] [0.12395752] 
[0.04397805] [0.07822359] [0.11445551] [0.15290787] [0.19160614] [0.23149283] [0.27207634] [0.316679] [0.3678996] [0.42245028] [0.48026472] [0.54640828] [0.65227791] [0.79693001] [1.01843246] [1.26905681] [1.67544068] [2.37010529] [3.72635765] [5.71600074] [0.11775965] 
[0.04177915] [0.07431241] [0.10873274] [0.14526247] [0.18202584] [0.21991819] [0.25847252] [0.30084505] [0.34950462] [0.40132777] [0.45625148] [0.51908786] [0.61966402] [0.75708351] [0.96751083] [1.20560397] [1.59166864] [2.25160002] [3.54003977] [5.4302007] [0.11187166] 
[0.03969019] [0.07059679] [0.1032961] [0.13799935] [0.17292455] [0.20892228] [0.2455489] [0.2858028] [0.33202939] [0.38126138] [0.43343891] [0.49313347] [0.58868082] [0.71922934] [0.91913529] [1.14532377] [1.51208521] [2.13902002] [3.36303778] [5.15869066] [0.10627808] 
[0.03770568] [0.06706695] [0.09813129] [0.13109938] [0.16427832] [0.19847617] [0.23327145] [0.27151266] [0.31542792] [0.36219831] [0.41176696] [0.4684768] [0.55924677] [0.68326787] [0.87317853] [1.08805758] [1.43648095] [2.03206902] [3.19488589] [4.90075613] [0.10096418] 
[0.0358204] [0.06371361] [0.09322473] [0.12454441] [0.1560644] [0.18855236] [0.22160788] [0.25793702] [0.29965652] [0.34408839] [0.39117861] [0.44505296] [0.53128444] [0.64910448] [0.8295196] [1.0336547] [1.3646569] [1.93046557] [3.03514159] [4.65571832] [0.09591597] 
[0.03402938] [0.06052793] [0.08856349] [0.11831719] [0.14826118] [0.17912474] [0.21052749] [0.24504017] [0.28467369] [0.32688397] [0.37161968] [0.42280031] [0.50472021] [0.61664925] [0.78804362] [0.98197197] [1.29642406] [1.83394229] [2.88338451] [4.42293241] [0.09112017] 
[0.03232791] [0.05750153] [0.08413532] [0.11240133] [0.14084812] [0.1701685] [0.20000111] [0.23278816] [0.27044001] [0.31053977] [0.3530387] [0.40166029] [0.4794842] [0.58581679] [0.74864144] [0.93287337] [1.23160285] [1.74224518] [2.73921529] [4.20178579] [0.08656416] 
[0.30460125] [0.51846139] [0.72108841] [0.93367143] [1.08938083] [1.31484139] [1.51021279] [1.73114169] [1.94147536] [2.23521397] [2.60970342] [3.03949231] [3.47134797] [4.29535127] [4.90754832] [5.56279254] [7.70268138] [10.9647742] [17.58263685] [23.49510191] [0.49572254] 
[0.28937118] [0.49253832] [0.68503399] [0.88698786] [1.03491178] [1.24909932] [1.43470215] [1.64458461] [1.84440159] [2.12345327] [2.47921825] [2.8875177] [3.29778057] [4.08058371] [4.6621709] [5.28465292] [7.31754731] [10.41653549] [16.70350501] [22.32034682] [0.47093642] 
[0.27490262] [0.4679114] [0.65078229] [0.84263847] [0.98316619] [1.18664436] [1.36296704] [1.56235538] [1.75218151] [2.01728061] [2.35525734] [2.74314181] [3.13289155] [3.87655452] [4.42906236] [5.02042027] [6.95166994] [9.89570871] [15.86832976] [21.20432947] [0.4473896] 
[0.26115749] [0.44451583] [0.61824317] [0.80050655] [0.93400788] [1.12731214] [1.29481869] [1.48423761] [1.66457244] [1.91641658] [2.23749447] [2.60598472] [2.97624697] [3.6827268] [4.20760924] [4.76939926] [6.60408644] [9.40092328] [15.07491327] [20.144113] [0.42502012] 
