Iteration: 464
[0.04818827] [0.09109914] [0.13306736] [0.17715051] [0.22200178] [0.28896058] [0.36995287] [0.42513428] [0.48244474] [0.55118893] [0.63718582] [0.72337422] [0.868141] [1.08974195] [1.32826587] [1.73081747] [2.51277934] [4.38765762] [6.38924426] [8.99648914] [0.20958986] 
[0.04577886] [0.08654418] [0.126414] [0.16829299] [0.21090169] [0.27451255] [0.35145523] [0.40387757] [0.4583225] [0.52362948] [0.60532653] [0.68720551] [0.82473395] [1.03525486] [1.26185257] [1.6442766] [2.38714037] [4.16827474] [6.06978204] [8.54666468] [0.19911037] 
[0.04348991] [0.08221698] [0.1200933] [0.15987834] [0.2003566] [0.26078692] [0.33388247] [0.38368369] [0.43540638] [0.49744801] [0.5750602] [0.65284523] [0.78349725] [0.98349211] [1.19875995] [1.56206277] [2.26778335] [3.95986101] [5.76629294] [8.11933145] [0.18915485] 
[0.04131542] [0.07810613] [0.11408863] [0.15188442] [0.19033877] [0.24774758] [0.31718834] [0.36449951] [0.41363606] [0.47257561] [0.54630719] [0.62020297] [0.74432239] [0.93431751] [1.13882195] [1.48395963] [2.15439419] [3.76186796] [5.4779783] [7.71336488] [0.17969711] 
[0.03924965] [0.07420082] [0.1083842] [0.1442902] [0.18082183] [0.2353602] [0.30132893] [0.34627453] [0.39295426] [0.44894683] [0.51899183] [0.58919282] [0.70710627] [0.88760163] [1.08188085] [1.40976165] [2.04667448] [3.57377456] [5.20407938] [7.32769663] [0.17071225] 
[0.03728717] [0.07049078] [0.10296499] [0.13707569] [0.17178074] [0.22359219] [0.28626248] [0.3289608] [0.37330654] [0.42649949] [0.49304224] [0.55973318] [0.67175095] [0.84322155] [1.02778681] [1.33927357] [1.94434075] [3.39508583] [4.94387541] [6.9613118] [0.16217664] 
[0.03542281] [0.06696624] [0.09781674] [0.13022191] [0.1631917] [0.21241258] [0.27194936] [0.31251276] [0.35464122] [0.40517451] [0.46839013] [0.53174652] [0.63816341] [0.80106047] [0.97639747] [1.27230989] [1.84712372] [3.22533154] [4.69668164] [6.61324621] [0.15406781] 
[0.03365167] [0.06361793] [0.0929259] [0.12371081] [0.15503212] [0.20179195] [0.25835189] [0.29688713] [0.33690916] [0.38491579] [0.44497062] [0.5051592] [0.60625524] [0.76100745] [0.92757759] [1.20869439] [1.75476753] [3.06406496] [4.46184756] [6.2825839] [0.14636442] 
[0.03196908] [0.06043703] [0.08827961] [0.11752527] [0.14728051] [0.19170235] [0.24543429] [0.28204277] [0.3200637] [0.36567] [0.42272209] [0.47990124] [0.57594247] [0.72295708] [0.88119871] [1.14825967] [1.66702915] [2.91086171] [4.23875518] [5.96845471] [0.1390462] 
[0.03037063] [0.05741518] [0.08386563] [0.11164901] [0.13991649] [0.18211723] [0.23316258] [0.26794063] [0.30406051] [0.3473865] [0.40158599] [0.45590618] [0.54714535] [0.68680922] [0.83713878] [1.09084669] [1.5836777] [2.76531863] [4.02681742] [5.67003197] [0.13209389] 
